                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                0.78418,                0.84785,                0.97824,                0.85138,                0.90378,                0.92041,                0.74376,                0.60737,                0.82863,                0.88956,               0.006172,               0.006172,               0.006172
                    118,                0.73444,                0.79359,                0.94932,                0.85009,                 0.9649,                0.94232,                0.77787,                0.59146,                0.70805,                0.87985,               0.006139,               0.006139,               0.006139
                    119,                0.72001,                 0.7689,                0.92153,                0.87439,                0.95029,                0.93901,                0.75448,                0.63037,                 0.7133,                0.89798,               0.006106,               0.006106,               0.006106
                    120,                0.74886,                0.79507,                0.97517,                0.87439,                0.95029,                0.93901,                0.75448,                0.63037,                 0.7133,                0.89798,               0.006073,               0.006073,               0.006073
                    121,                 0.7356,                0.80564,                0.95196,                0.93258,                0.94932,                0.96318,                0.81223,                  0.571,                0.63972,                0.87533,                0.00604,                0.00604,                0.00604
                    122,                0.73612,                0.84173,                 0.9642,                0.95705,                 0.9598,                0.96926,                0.81982,                0.57529,                0.60688,                0.87216,               0.006007,               0.006007,               0.006007
                    123,                0.79519,                0.82004,                0.97821,                0.94894,                0.94672,                0.97444,                0.82612,                0.56919,                0.59973,                0.86664,               0.005974,               0.005974,               0.005974
                    124,                0.76705,                0.77287,                0.96312,                0.94894,                0.94672,                0.97444,                0.82612,                0.56919,                0.59973,                0.86664,               0.005941,               0.005941,               0.005941
                    125,                0.80209,                0.81126,                0.98335,                0.96064,                0.92735,                0.98054,                0.83281,                0.59996,                0.59145,                0.87266,               0.005908,               0.005908,               0.005908
                    126,                0.77182,                0.81854,                0.95671,                0.97545,                0.96532,                0.98957,                0.86021,                0.55429,                0.56594,                0.85983,               0.005875,               0.005875,               0.005875
                    127,                0.69435,                0.75049,                0.93056,                0.98027,                0.97432,                0.99229,                0.85145,                0.57598,                0.58013,                0.86356,               0.005842,               0.005842,               0.005842
                    128,                0.74315,                0.71465,                0.95239,                0.98027,                0.97432,                0.99229,                0.85145,                0.57598,                0.58013,                0.86356,               0.005809,               0.005809,               0.005809
                    129,                0.70801,                0.72151,                0.92858,                0.97236,                0.99791,                0.99396,                0.86024,                0.54546,                0.56016,                0.85731,               0.005776,               0.005776,               0.005776
                    130,                0.73646,                0.79996,                0.98057,                0.99092,                0.98786,                0.99435,                0.85676,                0.56984,                0.59304,                0.86008,               0.005743,               0.005743,               0.005743
                    131,                0.76738,                 0.7645,                0.95738,                0.96344,                0.95631,                0.97354,                0.82282,                0.55042,                0.58564,                0.86277,                0.00571,                0.00571,                0.00571
                    132,                0.64559,                 0.6903,                 0.9062,                0.96344,                0.95631,                0.97354,                0.82282,                0.55042,                0.58564,                0.86277,               0.005677,               0.005677,               0.005677
                    133,                0.69406,                0.72328,                0.92656,                0.94238,                0.90647,                0.95581,                0.80891,                0.55853,                0.59469,                0.86254,               0.005644,               0.005644,               0.005644
                    134,                0.67803,                0.72915,                 0.9412,                0.95219,                 0.9473,                0.97316,                0.83779,                0.55306,                0.59065,                0.86018,               0.005611,               0.005611,               0.005611
                    135,                0.71752,                0.78817,                0.94419,                0.90802,                0.96396,                 0.9636,                0.81835,                 0.5654,                0.58534,                0.86471,               0.005578,               0.005578,               0.005578
                    136,                0.69217,                0.70024,                0.94408,                0.90802,                0.96396,                 0.9636,                0.81835,                 0.5654,                0.58534,                0.86471,               0.005545,               0.005545,               0.005545
                    137,                0.75861,                0.81607,                0.95114,                0.90856,                0.95449,                0.96153,                0.80547,                 0.5879,                0.65489,                0.86963,               0.005512,               0.005512,               0.005512
                    138,                 0.6908,                0.72522,                0.93738,                0.89393,                0.97655,                0.97426,                 0.8259,                0.55798,                  0.613,                0.86317,               0.005479,               0.005479,               0.005479
                    139,                0.72442,                0.74691,                0.94264,                0.82406,                0.93288,                0.91128,                0.77249,                0.55463,                0.65495,                  0.866,               0.005446,               0.005446,               0.005446
                    140,                0.70745,                0.74066,                0.95571,                0.82406,                0.93288,                0.91128,                0.77249,                0.55463,                0.65495,                  0.866,               0.005413,               0.005413,               0.005413
                    141,                 0.7093,                0.68719,                0.94125,                0.77796,                0.83018,                0.84306,                0.70932,                0.59076,                0.80789,                0.87651,                0.00538,                0.00538,                0.00538
                    142,                0.64898,                0.68002,                0.90275,                0.77089,                0.77444,                0.83112,                0.69385,                0.58624,                 0.8501,                0.87753,               0.005347,               0.005347,               0.005347
                    143,                0.69246,                0.68153,                0.93041,                0.77438,                0.72817,                0.83241,                 0.6935,                0.57124,                0.88736,                0.87128,               0.005314,               0.005314,               0.005314
                    144,                0.72435,                0.68228,                0.92503,                0.77438,                0.72817,                0.83241,                 0.6935,                0.57124,                0.88736,                0.87128,               0.005281,               0.005281,               0.005281
                    145,                0.71025,                 0.7001,                0.94732,                0.76808,                0.83452,                0.87438,                0.74172,                0.55903,                0.76617,                 0.8656,               0.005248,               0.005248,               0.005248
                    146,                0.66747,                 0.6308,                0.92597,                0.79252,                0.87465,                0.90629,                0.76895,                0.56552,                0.70756,                0.87347,               0.005215,               0.005215,               0.005215
                    147,                0.72788,                0.71262,                0.93658,                0.90075,                0.93156,                0.96217,                0.83237,                 0.5305,                0.56333,                0.85924,               0.005182,               0.005182,               0.005182
                    148,                0.66978,                0.70435,                0.92864,                0.90075,                0.93156,                0.96217,                0.83237,                 0.5305,                0.56333,                0.85924,               0.005149,               0.005149,               0.005149
